st,type 
:10-26-teensUser122!10-26-teensUser122@10-26-teensUser122 MODE #14-19teens -o 10-26-teensUser15,Other
sheesh,Other
omg,Other
!20,Other
get over the hair 10-19-30sUser17... lol,Statement
PART,Other
When does Anna arrive?,whQuestion
lol,Other
was dat a racist comment,Other
what?,whQuestion
JOIN,Other
I need Kittie music o_O,Statement
I wear sweats to bed myself,Statement
"<<<<<<,sighs",Statement
PART,Other
"laundry, 11-09-40sUser27?",ynQuestion
yawnssss......,Other
JOIN,Other
bye 11-08-40sUser29 :( ,Other
"she has always been so nice to me, hate to see her run off",Statement
if u see her get her addy and fwd dem pics plz,Statement
can't sleep huh?,ynQuestion
nothing i understand so i guess since i am stupid i will go,Statement
hi 10-24-40sUser50,Other
whats ur major,whQuestion
i agree,Other
when did that happen?,whQuestion
wb 11-08-adultsUser61,Other
oooooooooooo ghost hunters is on ya all talk to me if i get scared right ,Statement
Bye 11-09-40sUser31  !!,Other
JOIN,Other
well ok ! LOL.sooo.Im AFK fer a few more min.geesh !!!,Statement
Where do you live?,whQuestion
ewwww caca,Statement
.ACTION kicks 11-09-20sUser89 there you go sweet heart.,Other
someone said it was I thought,Statement
.*sigur ros - The Nothing Song.mp3 .(..(.vMp3 v1.7.4.).),Statement
10-19-30sUser2 even,Other
oh shit,Statement
right,Other
JOIN,Other
fenks baby!,Other
lol ,Other
 LOL was saying laters ta 11-08-40sUser24,Statement
((((((((((((((((((((10-24-40sUser34))))))))))))))))))),Other
"Roses? Uh.... nooooo, not so much",Statement
PART,Other
um 10-19-40sUser33   i mean,Other
without the @,Other
PART,Other
OMG,Other
hiya 11-09-40sUser34,Other
lol,Other
PART,Other
far away is my and erics song,Statement
wb 10-19-adultsUser38,Other
JOIN,Other
"later 11-09-adultsUser73, off to burger king to find me some cheap fast easy food",Other
"10-26-teensUser98, i could ask you the saME QUESTION",Statement
and u dont know kennedy,Other
.ACTION waves to 11-06-adultsUser5.,Other
me either 11-06-adultsUser29 lol,Statement
That's a good one,Statement
be offensive,Statement
hi 11-08-40sUser7,Other
but seriously,Statement
lol 11-09-40sUser53.. not only did they let me.. they commanded me.. i had no choice...,Other
JOIN,Other
I could see 11-06-adultsUser107 on that show,Statement
and what happened to her 10-19-30sUser17?,whQuestion
;),Other
ME??,ynQuestion
And lyings wrong,Other
hiya 10-24-40sUser33 !!!,Other
am I not good enuf for 11-08-20sUser91??!?!??!,ynQuestion
corn,Other
lol,Other
I was checking some results.,Statement
"10-19-20sUser7, try to arrange your words so they form coherent thoughts",Statement
smiles,Statement
Hi 11-09-40sUser45,Other
hi 31f ga im me to chat,Statement
and i don't complain about things being hard very often.,Other
*ignore*,Statement
.ACTION falls asleep on the couch.,Other
 yeah 11-08-40sUser7 we can say it is! LOL,Other
PART,Other
"guess he crashed, lol",Statement
LOl 11-08-40sUser62...,Other
donno why people think im female,Statement
thats so sexist,Other
night 11-06-adultsUser53,Other
nap time cya,Other
JOIN,Other
JOIN,Other
PART,Other
lol 10-19-20sUser115,Other
"everyone in this room ballin say ""11-09-teensUser153""",Statement
tell him how u really feel 10-19-adultsUser35 ;),Other
"thats awesome 10-26-teensUser66, nothing to be ashamed off",Statement
willy nelson,Statement
JOIN,Other
theres nobody here i wanna misbeahve with lol,Statement
"well, if that's what I needed to pass, I get a freaking A+",Statement
JOIN,Other
JOIN,Other
im out. i lost mine,Statement
hi 11-06-adultsUser107,Other
cripos,Other
any hot girls wanan chat w/a hot college guy,ynQuestion
lol,Other
PART,Other
your gonna have to peel him off the Ceiling soon lol,Statement
no im just bored u whore,Other
Hi 11-09-40sUser41,Other
^ 11-09-40sUser7,Statement
"I'm sorry 10-19-adultsUser35, I forgot",Statement
hi all,Other
nite all,Other
PART,Other
.ACTION bares her teeth.,Other
Anyone want to chat? 20/m/md,ynQuestion
PART,Other
maybe he was a gay rapest,Statement
JOIN,Other
mikeeeeeeeeeeeeeeeeeeeeeeeeee,Other
love me like a bomb baby come on get it on,Statement
ive never been on my elbows,Statement
yes dear ,Other
hi 11-08-40sUser48,Other
I love to eat me.,Statement
JOIN,Other
hiya 10-24-40sUser37,Other
JOIN,Other
when youve given up  hope and toss the one sock . the other always appears,Statement
:-),Other
n e 1 besides me need a drink,ynQuestion
JOIN,Other
Hi  10-19-40sUser43   welcome to room,Other
i would b too 11-09-40sUser22,Statement
scroll up,Statement
carpet burns,Statement
ya do.. i know that.. ;),Other
11-06-adultsUser99!!!!!,Other
hi 11-06-adultsUser82,Other
anyone in maryland?,ynQuestion
lol,Other
:P,Other
yes 11-09-40sUser30?????,whQuestion
 HELLO ROOM,Other
JOIN,Other
ya drugs r bad,Statement
Who told you that story?,whQuestion
hello10-24-40sUser20,Other
what an invention,Statement
leave me alone!,Other
(((((((((((((((((((((((11-08-40sUser66))))))))))))))),Other
<is right here,Statement
yes 11-08-20sUser69 i agree lets all just exchange fluids,Other
hey,Other
*use,Other
hey 11-09-adultsUser72,Other
11-09-teensUser190 loves 11-09-teensUser3 =] <3333,Statement
ty 11-08-40sUser7,Statement
i'm just kidding top keep popular opinion :),Statement
hey people any females want to chat to a guy from downunder?,ynQuestion
pm me,Statement
lol,Other
for the boredom,Statement
Where are you going?,whQuestion
hello any girl to talk to im female 14,Other
I'm on it too ,Statement
"10-24-40sUser37, one hour ago I said Hello to you",Statement
Rutger vs. Louisville.,ynQuestion
JOIN,Other
LMAO 11-08-adultsUser65 change it to wee 11-08-adultsUser65 LOL,Other
hi 11-08-40sUser24,Other
may I??,ynQuestion
backatchya 10-19-40sUser20 cutie,Statement
JOIN,Other
lol,Other
JOIN,Other
---------> 27 M UK (pic in profile),Statement
PART,Other
Heyy 11-09-20sUser103,Other
JOIN,Other
"yes, it does go both ways..",Other
JOIN,Other
JOIN,Other
JOIN,Other
Why did it happen?,whQuestion
.Question:. Have you ever been skydiving? Yes or No?,Other
hiya 10-24-40sUser34,Other
morning,Other
:10-26-teensUser54!10-26-teensUser54@10-26-teensUser54 MODE #14-19teens +o 10-26-teensUser54,Other
Hey everyone,Other
yeah,Other
who is who 11-08-40sUser28?,whQuestion
.ACTION this song has been played .13 0 times.. .this song lasts05. minutes/seconds. it's my Music.,Other
Thanks 11-09-20sUser156 baby!,Statement
deep inside 10-19-20sUser121 wants what she hates,Statement
t/c all  laters,Other
<---went to Edgewood Hi School,Statement
"but you see right. in, out , in . out",Statement
hey 11-06-adultsUser107???????,ynQuestion
i am shocked,Statement
Please tell me about a great idea you have witnessed in the field of librarianship recently,whQuestion
What interested you in applying for this position?,whQuestion
i am the one guy here thats hott,Statement
you too :),Statement
sry 10-19-adultsUser1 lol,Other
gaspppp,Other
hi 11-08-40sUser5,Other
T-Mobile,Statement
:),Other
lmaoooo,Other
Lol,Other
hey 11-09-teensUser181 can i pm u >????,ynQuestion
suck even :),Statement
PART,Other
you mean the price of homes 11-09-40sUser7?,ynQuestion
JOIN,Other
lol,Other
and 10-19-adultsUser28 suggested a sammich,Other
lol,Other
i'm doin' it now 10-19-30sUser17,Statement
yeah,Other
PART,Other
yes,Other
why?,whQuestion
haha ;),Other
PART,Other
lol,Other
Go you,Statement
JOIN,Other
who is that 11-08-40sUser66,whQuestion
"out in the woods, i hear dueling banjoes lol",Other
JOIN,Other
yes 10-19-20sUser115?,whQuestion
n e hott rocker girls wana chatt with a guitar rocker,ynQuestion
rethinks???,ynQuestion
lol 11-09-40sUser48...,Other
well let me get have another 12 hr day tomorrow at work ,Statement
hiya 10-19-40sUser49,Other
PART,Other
"yeah, 11-08-adultsUser35.. I just started Paxil..",Other
hey 11-09-adultsUser63,Other
19 f ny,Statement
hey 10-19-30sUser42,Other
yw.,Statement
damn,Other
lets pick on him....,Statement
;) 11-09-40sUser18!!!,Other
yeah I get perved often for some reason ,Statement
lol 11-08-adultsUser95,Other
YOU did so,Other
yeah...,Other
PART,Other
im doin alright thanks,Statement
Do you speak English?,ynQuestion
Hiya 10-19-40sUser43,Other
uffff,Other
PART,Other
hello 10-24-40sUser8,Other
hey hey,Other
try Zoloft or Wellbutrin (sp?),Statement
"<,thinks she d better ""perv"" profiles.....LOL",Statement
.3(((((..6 11-06-adultsUser105 ..3))))),Other
nothing much u,Statement
PART,Other
its kinda insuklting,Statement
PART,Other
 K 11-08-40sUser36,Other
smile,Statement
any single white females?,ynQuestion
how are you 10-19-30sUser23,whQuestion
you jus hopin fir bare handy.......but i aint that lucky lol,Statement
yes,Other
hiYas 10-19-adultsUser50,Other
JOIN,Other
aren't you supposed to wean yourself off?,ynQuestion
gotta get my kicks where i can,Statement
"I like it when you do it, 10-19-20sUser83",Statement
PART,Other
I mean,Statement
10-19-30sUser37....you freaked me out...nothing personal,Statement
ltns,Statement
i desire..................,Other
JOIN,Other
:11-09-teensUser114!11-09-teensUser114@11-09-teensUser114 MODE #14-19teens +o 11-09-teensUser114,Other
"i'm not 11-08-40sUser18, guess",Other
"10-24-40sUser41 ,,,,",Statement
PART,Other
exactly,Other
didn'tja hear me?,ynQuestion
choose me.,Statement
PART,Other
LOL,Other
the moon is up,Statement
I know,Statement
go me,Statement
if she was real she would have gigantic tits,Statement
:),Other
o0,Other
your off your rag??,ynQuestion
you know 10-19-adultsUser23   you should look at my msn myspace there and check out the weenis board I put up,Statement
it will work faster if you have other extensions turned off,Statement
PART,Other
JOIN,Other
:11-08-teensUser142!11-08-teensUser142@11-08-teensUser142 MODE #14-19teens +o 11-08-teensUser142,Other
my chair is too hard.,Statement
PART,Other
JOIN,Other
Hi  10-19-40sUser29  n 10-19-40sUser24 ,Other
who,whQuestion
grrrrrrrr...phone.....,Statement
PART,Other
JOIN,Other
JOIN,Other
Marvin,Statement
hi 11-08-adultsUser116,Other
JOIN,Other
hey 10-19-40sUser16,Other
Are the keys under the books?,ynQuestion
-_-,Other
what?,whQuestion
oh boy,Statement
I work in construction,Statement
LOL,Other
Why don’t we visit him now?,whQuestion
haven't seen me at six in the morning have you?,ynQuestion
ty 10-24-40sUser16,Statement
any girls wanna chat PM me,Statement
11-09-adultsUser12 what you wanna chat about,whQuestion
hi everyone,Other
hi 10-19-40sUser55,Other
JOIN,Other
nice to see you here,Statement
yes 10-19-adultsUser59 it is,Other
PART,Other
hello,Other
"they sang some of them beach songs, 11-09-40sUser52.. didnt they?",ynQuestion
all my rowdy friends are coming over tonight,Statement
hi 10-19-40sUser34,Other
PART,Other
evening 11-09-40sUser44,Other
Who is Her?,whQuestion
"ahhh.11-08-40sUser20 ! <<<<,smiles",Statement
PART,Other
I think I need to marry a man who makes enough $ so I don't have to work so hard.,Statement
but i'll call you just in case youre not dead,Other
what the shit is lucifuge?,whQuestion
hey 10-19-20sUser126,Other
dont know any 11-09-40sUser7.. tyvm,Statement
10-26-teensUser66 you dont need to own an xbox they are handheld games,Statement
JOIN,Other
?,whQuestion
back,Other
what is here?,whQuestion
Has Barbara ever studied abroad?,ynQuestion
PART,Other
thanks 11-09-adultsUser73,Statement
what up,whQuestion
men don't have hissy fits,Other
here is a crowded chat room LOL,Statement
up in this biyatch? :),ynQuestion
can i do  a  quiz,ynQuestion
PART,Other
Hi 11-09-40sUser48  !,Other
o0 what we dancing to 11-09-20sUser114?,whQuestion
what a dumb nic 11-08-20sUser54,Statement
woot im back and original,Statement
.ACTION wonderin who 11-06-adultsUser105 is?  :) lol.,Other
22 f az,Statement
!!,Other
PART,Other
.ACTION lets cat chat .,Other
PART,Other
ugh thanks 11-08-adultsUser56,Statement
11-06-adultsUser85 where are you from?,whQuestion
lol 11-08-20sUser21 ,Other
haha,Other
!spin,Other
"hi 11-08-40sUser53, 11-08-40sUser54",Other
hello 11-08-20sUser121,Other
oh,Statement
11-08-adultsUser102 do you not take private messages,ynQuestion
trance boi,Statement
PART,Other
JOIN,Other
ae you sexy?,ynQuestion
JOIN,Other
a bit.,Statement
wb,Other
nite 10-19-30sUser25,Other
.ACTION watches 10-19-20sUser6 jump up and pounce 10-19-20sUser165... mmm I missed you baby!.,Other
JOIN,Other
What did you do?,whQuestion
evening 11-09-40sUser18 :),Other
WTF,whQuestion
"dated a couple, 11-09-40sUser48",Statement
shaken or stirred 10-19-30sUser18?,whQuestion
PART,Other
"I was a contented homosexual till I met 10-24-40sUser52, now I doubt my sexuality",Statement
PART,Other
JOIN,Other
tc 10-24-40sUser26 ,Other
sw is very warm 11-09-40sUser3,Statement
Im so off,Statement
lol,Other
Ha.,Other
uh oh..,Statement
and this.. has been the grammar lesson of the day courtesy of: 10-19-20sUser84!,Other
JOIN,Other
hello 10-19-40sUser34,Other
PART,Other
.ACTION watches as 11-08-20sUser21 runs over and hugs 11-08-20sUser110 so tightly that a roaring column of flame streaks out of the heavens... *WOW*.,Other
are too!,Other
yea ?,Other
JOIN,Other
lol,Other
PART,Other
PART,Other
JOIN,Other
JOIN,Other
no?,Other
i sing for the ladies,Statement
hello 10-19-20sUser84,Other
JOIN,Other
What do you think about the party?,whQuestion
I'm alive 11-08-20sUser91,Statement
haha,Other
where u all from in here,whQuestion
awww sad,Other
s'ok 11-09-40sUser22.. winks,Statement
hi 10-19-40sUser30,Other
lol,Other
hi 11-09-40sUser49 how are you?,Other
PART,Other
hope she didn't go to sleep,Statement
PART,Other
Whom did you meet in front of the building last week?,whQuestion
wb 11-06-adultsUser19,Other
hi 11-08-40sUser5,Other
nothin at all,Statement
im 9,Statement
hey! you aren't making fun of me are you?,ynQuestion
whats eroticaust???,whQuestion
kookies,Statement
lol 10-24-40sUser28 good for you,Statement
charge that is 1.99/min.,Statement
"I am good, 11-08-adultsUser3 .. how you doin tonight?",whQuestion
"the sick part is, I'm an LPN..... i have to work overtime to make anything near what the RN's make.",Statement
o0,Other
11-09-teensUser25.,Statement
dont lie,Other
JOIN,Other
(__I__) just for you 11-09-20sUser89,Statement
babies,Statement
"11-08-40sUser24 i just remember, danny left to recieve his email...boy must of been a good one",Statement
sup,Other
PART,Other
damn wind - we must have a cyclone coming or something,Statement
yeah!,Other
.2******Welcome to all who just joined us!!!******.,Statement
lol a bit...but not much 10-24-40sUser13...lol,Statement
PART,Other
How did you solve it?,whQuestion
if i had the cash i would 10-19-40sUser20,Statement
11-09-40sUser39  ..   are you a high roller ?,ynQuestion
11-06-adultsUser53.....no whispers,Other
JOIN,Other
11-09-40sUser35,Statement
10-19-30sUser31,Other
I just laughed,Statement
Isn't it? =-\,ynQuestion
